s_user_note,Empty String (FAIL),s_equation,,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Lack of equal sign (FAIL),s_equation,1,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Unbalanced brackets L (FAIL),s_equation,(1,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Unbalanced brackets R (FAIL),s_equation,1(,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Unbalanced brackets L (FAIL),s_equation,((1),x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Two equal signs (FAIL),s_equation,1=1=1,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Balanced bracket (PASS),s_equation,1=((((((1)))))),x_fail,0,as_string_token,15,1,=,(,(,(,(,(,(,1,),),),),),),ast_token,15,st_token,1,0,0,5,0,st_token,=,2,0,0,0,st_token,(,3,1,10,0,st_token,(,3,2,10,0,st_token,(,3,3,10,0,st_token,(,3,4,10,0,st_token,(,3,5,10,0,st_token,(,3,6,10,0,st_token,1,0,6,5,0,st_token,),4,6,10,0,st_token,),4,5,10,0,st_token,),4,4,10,0,st_token,),4,3,10,0,st_token,),4,2,10,0,st_token,),4,1,10,0,ast_minimal_node,3,st_minimal_node,=,2,0,0,0,0,st_minimal_node,1,0,0,0,0,0,st_minimal_node,1,0,0,0,0,0,s_equation_decoded,1=1,END,
s_user_note,Two Number Equation (PASS),s_equation,1=1,x_fail,0,as_string_token,3,1,=,1,ast_token,3,st_token,1,0,0,5,0,st_token,=,2,0,0,0,st_token,1,0,0,5,0,ast_minimal_node,3,st_minimal_node,=,2,0,0,0,0,st_minimal_node,1,0,0,0,0,0,st_minimal_node,1,0,0,0,0,0,s_equation_decoded,1=1,END,
s_user_note,Floating Point Equation (PASS),s_equation,3/2=1.5000000000,x_fail,0,as_string_token,5,3,/,2,=,1.5000000000,ast_token,5,st_token,3,0,0,5,0,st_token,/,2,0,2,0,st_token,2,0,0,5,0,st_token,=,2,0,0,0,st_token,1.5000000000,0,0,5,0,ast_minimal_node,5,st_minimal_node,=,2,0,0,0,0,st_minimal_node,/,2,0,0,0,0,st_minimal_node,1.5000000000,0,0,0,0,0,st_minimal_node,3,0,0,0,0,1,st_minimal_node,2,0,0,0,0,1,s_equation_decoded,(3/2)=1.5000000000,END,
s_user_note,Three Number Equation (PASS),s_equation,5=2+3,x_fail,0,as_string_token,5,5,=,2,+,3,ast_token,5,st_token,5,0,0,5,0,st_token,=,2,0,0,0,st_token,2,0,0,5,0,st_token,+,2,0,3,0,st_token,3,0,0,5,0,ast_minimal_node,5,st_minimal_node,=,2,0,0,0,0,st_minimal_node,5,0,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,2,0,0,0,0,2,st_minimal_node,3,0,0,0,0,2,s_equation_decoded,5=(2+3),END,
s_user_note,Four Number Equation (PASS),s_equation,A+B-C=100,x_fail,0,as_string_token,7,A,+,B,-,C,=,100,ast_token,7,st_token,A,1,0,4,0,st_token,+,2,0,3,0,st_token,B,1,0,4,0,st_token,-,2,0,3,0,st_token,C,1,0,4,0,st_token,=,2,0,0,0,st_token,100,0,0,5,0,ast_minimal_node,7,st_minimal_node,=,2,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,100,0,0,0,0,0,st_minimal_node,A,1,0,0,0,1,st_minimal_node,-,2,0,0,0,1,st_minimal_node,B,1,0,0,0,4,st_minimal_node,C,1,0,0,0,4,s_equation_decoded,(A+(B-C))=100,END,
s_user_note,One Symbol Equation (PASS),s_equation,X=1,x_fail,0,as_string_token,3,X,=,1,ast_token,3,st_token,X,1,0,4,0,st_token,=,2,0,0,0,st_token,1,0,0,5,0,ast_minimal_node,3,st_minimal_node,=,2,0,0,0,0,st_minimal_node,X,1,0,0,0,0,st_minimal_node,1,0,0,0,0,0,s_equation_decoded,X=1,END,
